Titre du poste,Entreprise,Ville,Secteur d'activité,Contrat proposé,Niveau d'étude,Expérience,Compétences techniques,Langues,Soft skills,Lien de l'offre
Chef de Service Après-Vente et Magasin Pièces de Rechange,Groupe Smeia,Oujda,"Automobile, Motos, Cycles",CDI,Bac +5 et plus,Confirmé (5 à 10 ans),Excel,Non spécifié,"Travail en équipe, Rigueur, Organisation, Créativité, Innovation, Initiative, Réactivité",https://www.rekrute.com/fr/offre-emploi-chef-de-service-apres-vente-et-magasin-pieces-de-rechange-recrutement-groupe-smeia-oujda-184411.html
Technicien Fabrication,Cosumar,Sidi Bennour,Agroalimentaire,Autre,Bac +3,Débutant (-1 an),Non spécifié,Non spécifié,"Travail en équipe, Rigueur, Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-technicien-fabrication-recrutement-cosumar-sidi-bennour-184380.html
Technicien Process,Cosumar,Ksar El Kébir,Agroalimentaire,Autre,Bac +3,Débutant (-1 an),Non spécifié,Non spécifié,"Travail en équipe, Rigueur, Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-technicien-process-recrutement-cosumar-ksar-el-kebir-184378.html
Responsable de Site,Meski Invest - Riva Industries,El Jadida,"Automobile, Motos, Cycles",CDI,Bac +5 et plus,Confirmé (5 à 10 ans),Excel,Non spécifié,"Communication, Rigueur, Leadership, Gestion de projet, Innovation, Résolution de problèmes, Relationnel, Flexibilité",https://www.rekrute.com/fr/offre-emploi-responsable-de-site-recrutement-meski-invest---riva-industries-el-jadida-184321.html
Projeteur Piping,Capgemini Engineering,Casablanca,Energie,CDI,Bac +5 et plus,Intermédiaire (3 à 5 ans),"Modélisation, ERP",Anglais,"Communication, Autonomie, Rigueur, Organisation, Créativité, Innovation, Initiative, Flexibilité",https://www.rekrute.com/fr/offre-emploi-projeteur-piping-recrutement-capgemini-engineering-casablanca-184320.html
Responsable SAV,Auto Hall,Casablanca,"Automobile, Motos, Cycles",CDI,Bac +5 et plus,Junior (1 à 3 ans),Excel,Non spécifié,"Travail en équipe, Innovation, Initiative, Flexibilité",https://www.rekrute.com/fr/offre-emploi-responsable-sav-recrutement-auto-hall-casablanca-184310.html
Ingénieur Installation Générale Senior,Capgemini Engineering,Casablanca,"BTP, Génie Civil",CDI,Bac +5 et plus,Intermédiaire (3 à 5 ans),ERP,Anglais,"Communication, Travailler en équipe, Autonomie, Rigueur, Organisation, Créativité, Innovation, Initiative, Sens de l'organisation, Esprit d'analyse",https://www.rekrute.com/fr/offre-emploi-ingenieur-installation-generale-senior-recrutement-capgemini-engineering-casablanca-184305.html
Directeur Technique,Confidentiel,Marrakech,"Hôtellerie, Restauration",CDI,Bac +5 et plus,Confirmé (5 à 10 ans),Non spécifié,"Français, Anglais, Arabe","Travail en équipe, Rigueur, Organisation, Leadership, Flexibilité, Réactivité",https://www.rekrute.com/fr/offre-emploi-directeur-technique-recrutement-confidentiel-marrakech-184275.html
Responsable Maintenance,Sedec,Témara,"BTP, Génie Civil",CDI,Bac +5 et plus,Confirmé (5 à 10 ans),"GMAO, Automatisme",Non spécifié,"Organisation, Leadership, Gestion de projet, Innovation, Réactivité",https://www.rekrute.com/fr/offre-emploi-responsable-maintenance-recrutement-sedec-temara-184227.html
Facility Manager,Manpower Agences,Casablanca,Autres Industries,Intérim,Bac +5 et plus,Confirmé (5 à 10 ans),Excel,"Français, Anglais","Communication, Rigueur, Organisation, Leadership, Gestion de projet, Innovation, Résolution de problèmes, Adaptabilité, Relationnel",https://www.rekrute.com/fr/offre-emploi-facility-manager-recrutement-manpower-agences-casablanca-184150.html
Technicien centrale chaufferie,Confidentiel,Casablanca,Agroalimentaire,Autre,Bac +2,Débutant (-1 an),Automatisme,Non spécifié,Non spécifié,https://www.rekrute.com/fr/offre-emploi-technicien-centrale-chaufferie-recrutement-confidentiel-casablanca-184064.html
Préparateur Maintenance – Maintenance Fixe,Aya Gold & Silver,Taliouine- Askaoune,"Extraction, Mines",CDI,Bac +2,Intermédiaire (3 à 5 ans),"GMAO, ERP, Excel","Français, Anglais","Rigueur, Organisation, Relationnel",https://www.rekrute.com/fr/offre-emploi-preparateur-maintenance-maintenance-fixe-recrutement-aya-gold-silver-taliouine--askaoune-184055.html
Technicien(ne) supérieur(e) - Secteur Hydraulique/Energétique,Manpower Agences,Casablanca,Energie,Autre,Bac +3,Junior (1 à 3 ans),"ERP, Excel","Français, Anglais","Rigueur, Organisation, Innovation, Adaptabilité",https://www.rekrute.com/fr/offre-emploi-technicienne-superieure---secteur-hydrauliqueenergetique-recrutement-manpower-agences-casablanca-183630.html
Technicien de Fabrication,Cosumar,Kénitra,Agroalimentaire,Autre,Bac +3,Débutant (-1 an),Non spécifié,Non spécifié,"Travail en équipe, Rigueur, Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-technicien-de-fabrication-recrutement-cosumar-kenitra-184011.html
Dessinateur projeteur,Confidentiel,Casablanca,"Conseil, Etudes",CDI,Bac +2,Junior (1 à 3 ans),ERP,Non spécifié,"Communication, Travail en équipe, Autonomie, Rigueur, Organisation, Leadership, Innovation, Adaptabilité, Initiative",https://www.rekrute.com/fr/offre-emploi-dessinateur-projeteur-recrutement-confidentiel-casablanca-184009.html
Responsable Service (H/F),CAC (Centrale Automobile Chérifienne),Casablanca,"Automobile, Motos, Cycles",CDI,Bac +5 et plus,Confirmé (5 à 10 ans),Non spécifié,Non spécifié,"Communication, Rigueur, Organisation, Innovation, Adaptabilité",https://www.rekrute.com/fr/offre-emploi-responsable-service-hf-recrutement-cac-centrale-automobile-cherifienne-casablanca-183976.html
Responsable Maintenance des Engins,Meski Invest - Riva Industries,El Jadida,"Métallurgie, Sidérurgie",CDI,Bac +5 et plus,Confirmé (5 à 10 ans),"GMAO, AMDEC, 5S",Non spécifié,"Communication, Travail en équipe, Rigueur, Organisation, Leadership, Innovation, Résolution de problèmes",https://www.rekrute.com/fr/offre-emploi-responsable-maintenance-des-engins-recrutement-meski-invest---riva-industries-el-jadida-183966.html
Business Analyst,Domino HR Morocco,Casablanca,"Aéronautique, Spatial",CDI,Bac +5 et plus,Confirmé (5 à 10 ans),Excel,"Français, Anglais","Communication, Autonomie, Organisation, Gestion de projet, Initiative, Réactivité",https://www.rekrute.com/fr/offre-emploi-business-analyst-recrutement-domino-hr-morocco-casablanca-183871.html
Gestionnaire Technique,Atlas Multiservices,CASABLANCA,Indifférent,CDI,Bac +3,Intermédiaire (3 à 5 ans),Non spécifié,Non spécifié,"Travailler en équipe, Rigueur, Organisation, Organisé",https://www.rekrute.com/fr/offre-emploi-gestionnaire-technique-recrutement-atlas-multiservices-casablanca-183833.html
Leader Maintenance Générale,Confidentiel,Casablanca,Agroalimentaire,CDI,Bac +5 et plus,Intermédiaire (3 à 5 ans),Non spécifié,Non spécifié,"Travail en équipe, Créativité, Flexibilité",https://www.rekrute.com/fr/offre-emploi-leader-maintenance-generale-recrutement-confidentiel-casablanca-183758.html
Ingénieur Méthodes,HUIR - L'Hôpital Universitaire International de Rabat,Rabat,"Pharmacie, Santé",CDI,Bac +5 et plus,Junior (1 à 3 ans),"GMAO, Excel",Non spécifié,"Rigueur, Organisation, Innovation, Initiative",https://www.rekrute.com/fr/offre-emploi-ingenieur-methodes-recrutement-huir---lhopital-universitaire-international-de-rabat-rabat-183711.html
Technical Sales Engineer,SGS Maroc SA,Mohammédia,"Pétrole, Gaz",CDI,Bac +5 et plus,Intermédiaire (3 à 5 ans),Excel,"Français, Anglais","Communication, Esprit d'équipe, Autonomie, Autonome, Organisation, Innovation, Relationnel",https://www.rekrute.com/fr/offre-emploi-technical-sales-engineer-recrutement-sgs-maroc-sa-mohammedia-183080.html
Ingénieur Production,Confidentiel,Meknès,"Métallurgie, Sidérurgie",CDI,Bac +5 et plus,Junior (1 à 3 ans),"Lean, Lean manufacturing, Excel","Français, Anglais","Rigueur, Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-ingenieur-production-recrutement-confidentiel-meknes-183484.html
Responsable SAV Automobile,Super Auto Group,Rabat,"Automobile, Motos, Cycles",CDI,Bac +5 et plus,Intermédiaire (3 à 5 ans),Excel,"Français, Anglais","Travail en équipe, Organisation, Leadership, Innovation, Initiative, Flexibilité",https://www.rekrute.com/fr/offre-emploi-responsable-sav-automobile-recrutement-super-auto-group-rabat-183436.html
Agent méthodes Maintenance,Ciments du Maroc,Agadir,"Electro-mécanique, Mécanique",CDI,Bac +3,Intermédiaire (3 à 5 ans),"SOLIDWORKS, Autocad, CAO, GMAO, SAP, ERP, Excel","Français, Anglais, Arabe","Travail en équipe, Rigueur, Organisation, Innovation, Résolution de problèmes, Adaptabilité, Relationnel, Initiative",https://www.rekrute.com/fr/offre-emploi-agent-methodes-maintenance-recrutement-ciments-du-maroc-agadir-183351.html
Inspecteur,SGS Maroc SA,Nador,"Extraction, Mines",CDI,Bac +3,Intermédiaire (3 à 5 ans),"ERP, Excel","Français, Anglais","Communication, Travailler en équipe, Rigueur, Organisation, Innovation, Relationnel",https://www.rekrute.com/fr/offre-emploi-inspecteur-recrutement-sgs-maroc-sa-nador-183343.html
Ingénieur Travaux  F/H,VINCI Energies Afrique de l'Ouest,Casablanca,Energie,CDI,Bac +5 et plus,Junior (1 à 3 ans),Excel,Non spécifié,"Communication, Communiquer, Travail en équipe, Travailler en équipe, Autonomie, Rigueur, Gestion de projet",https://www.rekrute.com/fr/offre-emploi-ingenieur-travaux-fh-recrutement-vinci-energies-afrique-de-louest-casablanca-183217.html
Formateur Technique Automobile (H/F),Jameel Motors,Casablanca,"Automobile, Motos, Cycles",CDI,Bac +2,Intermédiaire (3 à 5 ans),"ERP, Excel","Français, Anglais, Arabe","Communication, Autonomie, Organisation, Innovation, Sens de l'organisation",https://www.rekrute.com/fr/offre-emploi-formateur-technique-automobile-hf-recrutement-jameel-motors-casablanca-183096.html
Ingénieur Maintenance Matériels roulants,Aya Gold & Silver,Taliouine - Askaoun,"Extraction, Mines",CDI,Bac +5 et plus,Junior (1 à 3 ans),"GMAO, AMDEC, Lean, Excel",Non spécifié,"Communication, Esprit d'équipe, Autonomie, Rigueur, Organisation, Résolution de problèmes, Force de proposition, Sens de l'organisation, Réactivité, Esprit d'analyse",https://www.rekrute.com/fr/offre-emploi-ingenieur-maintenance-materiels-roulants-recrutement-aya-gold-silver-taliouine---askaoun-183125.html
Responsable Procédés Spéciaux,Structural Aerospace Morocco (AVIAGROUP),Nouaceur,"Aéronautique, Spatial",CDI,Bac +5 et plus,Intermédiaire (3 à 5 ans),"ERP, Excel",Anglais,"Rigueur, Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-responsable-procedes-speciaux-recrutement-structural-aerospace-morocco-aviagroup-nouaceur-183090.html
Responsable UAP,Safran Nacelles,Casablanca,"Aéronautique, Spatial",CDI,Bac +5 et plus,Confirmé (5 à 10 ans),"SAP, Excel","Français, Anglais","Communication, Travail en équipe, Autonomie, Autonome, Rigueur, Organisation, Créativité, Innovation, Flexibilité",https://www.rekrute.com/fr/offre-emploi-responsable-uap-recrutement-safran-nacelles-casablanca-183009.html
Danone Operation Future Leaders Program,Centrale Danone,Maroc,Agroalimentaire,CDI,Bac +5 et plus,Débutant (-1 an),Non spécifié,Anglais,"Travailler en équipe, Rigueur, Organisation, Créativité, Leadership, Innovation, Relationnel",https://www.rekrute.com/fr/offre-emploi-danone-operation-future-leaders-program-recrutement-centrale-danone-maroc-182937.html
Ingénieur (e) Conception & Rétroconception,CID,Casablanca,"BTP, Génie Civil",CDI,Bac +5 et plus,Confirmé (5 à 10 ans),"CATIA, Creo, NX, CAO, AMDEC, APQP, PPAP",Non spécifié,"Autonomie, Rigueur, Organisation",https://www.rekrute.com/fr/offre-emploi-ingenieur-e-conception-retroconception-recrutement-cid-casablanca-182882.html
Stage PFE  Qualité,Pratt & Whitney,Nouaceur,"Aéronautique, Spatial",Stage,Bac +5 et plus,Débutant (-1 an),Excel,Non spécifié,"Travail en équipe, Travailler en équipe, Rigueur, Organisation, Créativité, Innovation, Initiative",https://www.rekrute.com/fr/offre-emploi-stage-pfe-qualite-recrutement-pratt-whitney-nouaceur-182874.html
Technicien Chargé des pistes (H/F),Sorec,Marrakech,"BTP, Génie Civil",CDI,Bac +2,Débutant (-1 an),Excel,Non spécifié,"Organisation, Innovation, Relationnel, Initiative",https://www.rekrute.com/fr/offre-emploi-technicien-charge-des-pistes-hf-recrutement-sorec-marrakech-182819.html
Stage Libre – Profil Technique (CATIA),Capgemini Engineering,Casablanca,"Electro-mécanique, Mécanique",Stage,Bac +3,Débutant (-1 an),"CATIA, Modélisation, ERP",Non spécifié,"Communication, Travailler en équipe, Rigueur, Organisation, Créativité, Innovation, Initiative",https://www.rekrute.com/fr/offre-emploi-stage-libre-profil-technique-catia-recrutement-capgemini-engineering-casablanca-182754.html
Ingénieur CAD Conception (H/F) – Textile,Domino HR Morocco,Tanger,"Textile, Cuir",CDI,Bac +5 et plus,Intermédiaire (3 à 5 ans),Non spécifié,"Français, Anglais","Communication, Rigueur, Organisation, Initiative, Réactivité",https://www.rekrute.com/fr/offre-emploi-ingenieur-cad-conception-hf-textile-recrutement-domino-hr-morocco-tanger-182753.html
Agent Ponts Bascules,Cosumar,Sidi Bennour,Agroalimentaire,Autre,Bac +3,Débutant (-1 an),Non spécifié,Non spécifié,"Travail en équipe, Rigueur, Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-agent-ponts-bascules-recrutement-cosumar-sidi-bennour-184428.html
Technicien maintenance mécanique,Cosumar,Sidi Bennour,Agroalimentaire,Autre,Bac +3,Débutant (-1 an),Non spécifié,Non spécifié,"Travail en équipe, Rigueur, Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-technicien-maintenance-mecanique-recrutement-cosumar-sidi-bennour-184407.html
Responsable Parc Auto (H/F),Foods and Goods,Bouskoura,Distribution,CDI,Bac +3,Intermédiaire (3 à 5 ans),Excel,"Français, Arabe","Travail en équipe, Rigueur, Organisation, Innovation, Flexibilité",https://www.rekrute.com/fr/offre-emploi-responsable-parc-auto-hf-recrutement-foods-and-goods-bouskoura-184398.html
Responsable Maintenance Véhicules – Parc,Confidentiel,Mohammédia,"Automobile, Motos, Cycles",CDI,Bac +5 et plus,Intermédiaire (3 à 5 ans),Non spécifié,Non spécifié,"Travail en équipe, Organisation, Flexibilité",https://www.rekrute.com/fr/offre-emploi-responsable-maintenance-vehicules-parc-recrutement-confidentiel-mohammedia-182887.html
Automaticien,Richbond,Casablanca-Chefchaouen,Autres services,CDI,Bac +2,Intermédiaire (3 à 5 ans),"GMAO, Automatisme",Non spécifié,"Travail en équipe, Rigueur, Organisation, Créativité, Innovation, Initiative, Flexibilité",https://www.rekrute.com/fr/offre-emploi-automaticien-recrutement-richbond-casablanca-chefchaouen-184387.html
Technicien Maintenance Electrique et Automatisme,Cosumar,Sidi Bennour,Agroalimentaire,Autre,Bac +3,Débutant (-1 an),"Automatisme, Excel",Non spécifié,"Travail en équipe, Rigueur, Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-technicien-maintenance-electrique-et-automatisme-recrutement-cosumar-sidi-bennour-184381.html
Chargé Marketing et Qualité,Meski Invest - Riva Industries,MEKNES,"Agence pub, Marketing Direct",CDI,Bac +3,Junior (1 à 3 ans),Excel,Non spécifié,"Communication, Esprit d'équipe, Autonomie, Rigueur, Organisation, Gestion de projet, Innovation, Relationnel",https://www.rekrute.com/fr/offre-emploi-charge-marketing-et-qualite-recrutement-meski-invest---riva-industries-meknes-184369.html
électromécanicien,Lesieur Cristal,Casablanca,Agroalimentaire,CDI,Bac +2,Junior (1 à 3 ans),"Automatisme, Excel",Non spécifié,"Travail en équipe, Organisation, Créativité, Innovation, Adaptabilité, Initiative, Flexibilité",https://www.rekrute.com/fr/offre-emploi-electromecanicien-recrutement-lesieur-cristal-casablanca-184339.html
Operateur de câblage,Yazaki Morocco,Tanger,"Aéronautique, Spatial",Autre,Qualification avant Bac,Débutant (-1 an),Non spécifié,Non spécifié,"Travail en équipe, Rigueur, Organisation, Créativité, Innovation, Initiative",https://www.rekrute.com/fr/offre-emploi-operateur-de-cablage-recrutement-yazaki-morocco-tanger-184323.html
Responsable maintenance,Best Biscuits Maroc,Had Soualem,Agroalimentaire,CDI,Bac +5 et plus,Intermédiaire (3 à 5 ans),"GMAO, Excel",Non spécifié,"Organisation, Innovation, Polyvalence",https://www.rekrute.com/fr/offre-emploi-responsable-maintenance-recrutement-best-biscuits-maroc-had-soualem-184289.html
"Chargé des Moyens Généraux (plomberie, électricité)",AXA Services Maroc,Rabat,Electricité,CDI,Bac +2,Intermédiaire (3 à 5 ans),Non spécifié,Non spécifié,"Travail en équipe, Travailler en équipe, Rigueur, Organisation, Innovation, Relationnel",https://www.rekrute.com/fr/offre-emploi-charge-des-moyens-generaux-plomberie-electricite-recrutement-axa-services-maroc-rabat-184054.html
Superviseur Maintenance Bâtiment & parc roulant,Groupe Bel,Tanger,Agroalimentaire,CDI,Bac +2,Intermédiaire (3 à 5 ans),"Autocad, CAO, DAO, Modélisation, ERP, Excel","Français, Anglais","Travailler en équipe, Rigueur, Organisation, Gestion de projet, Innovation, Réactivité",https://www.rekrute.com/fr/offre-emploi-superviseur-maintenance-batiment-parc-roulant-recrutement-groupe-bel-tanger-184249.html
Responsable Parc Auto (H/F),Foods and Goods,Bouskoura,Distribution,CDI,Bac +3,Intermédiaire (3 à 5 ans),Excel,"Français, Arabe","Travail en équipe, Rigueur, Organisation, Innovation, Flexibilité",https://www.rekrute.com/fr/offre-emploi-responsable-parc-auto-hf-recrutement-foods-and-goods-bouskoura-184234.html
Chauffeur/ ambulancier,APEE - Association pour la Promotion de l’Enseignement d’Excellence,Rabat,"Enseignement, Formation",CDI,Bac,Junior (1 à 3 ans),Excel,Non spécifié,"Communication, Communiquer, Réactivité",https://www.rekrute.com/fr/offre-emploi-chauffeur-ambulancier-recrutement-apee---association-pour-la-promotion-de-lenseignement-dexcellence-rabat-167696.html
Agent Technique & Actifs Spécialisé en Climatisation et Froid,Groupe Label'Vie - Carrefour,Skhirat,Agroalimentaire,CDI,Bac +2,Junior (1 à 3 ans),DAO,Non spécifié,"Organisation, Organisé, Innovation, Adaptabilité, Esprit d'analyse",https://www.rekrute.com/fr/offre-emploi-agent-technique-actifs-specialise-en-climatisation-et-froid-recrutement-groupe-labelvie---carrefour-skhirat-184165.html
Techniciens de Maintenance (H/F),Auto Hall,Marrakech,"Automobile, Motos, Cycles",CDI,Bac +2,Junior (1 à 3 ans),Excel,Non spécifié,"Organisation, Innovation, Initiative",https://www.rekrute.com/fr/offre-emploi-techniciens-de-maintenance-hf-recrutement-auto-hall-marrakech-183748.html
chargé technique des actifs,Groupe Label'Vie - Carrefour,Skhirat,Agroalimentaire,CDI,Bac +5 et plus,Junior (1 à 3 ans),DAO,Non spécifié,"Organisation, Innovation, Adaptabilité",https://www.rekrute.com/fr/offre-emploi-charge-technique-des-actifs-recrutement-groupe-labelvie---carrefour-skhirat-183589.html
Responsable Contrôle Qualité Matière Première (H/F),Sothema,BOUSKOURA,"Pharmacie, Santé",CDI,Bac +5 et plus,Intermédiaire (3 à 5 ans),Excel,Non spécifié,"Communication, Communiquer, Travail en équipe, Rigueur, Organisation, Gestion de projet, Innovation, Résolution de problèmes, Proactivité, Relationnel, Flexibilité, Sens de l'organisation, Esprit d'analyse",https://www.rekrute.com/fr/offre-emploi-responsable-controle-qualite-matiere-premiere-hf-recrutement-sothema-bouskoura-182837.html
Frigoriste (stage de 3 mois),Sothema,Bouskoura,"Pharmacie, Santé",Stage,Bac +3,Débutant (-1 an),Non spécifié,Non spécifié,"Travail en équipe, Travailler en équipe, Rigueur, Organisation, Innovation, Résolution de problèmes, Relationnel, Flexibilité",https://www.rekrute.com/fr/offre-emploi-frigoriste-stage-de-3-mois-recrutement-sothema-bouskoura-184121.html
Agent/Technicien Outillages,Manpower Agences,CASABLANCA,"Aéronautique, Spatial",Intérim,Bac +3,Intermédiaire (3 à 5 ans),Excel,Français,"Rigueur, Organisation, Innovation, Adaptabilité, Flexibilité",https://www.rekrute.com/fr/offre-emploi-agenttechnicien-outillages-recrutement-manpower-agences-casablanca-183792.html
PROGRAMMEUR MASTERCAM,Akkodis Maroc,Tanger,"Aéronautique, Spatial",CDI,Bac +3,Intermédiaire (3 à 5 ans),"ERP, Robotique, Excel",Non spécifié,"Communication, Esprit d'équipe, Autonomie, Rigueur, Organisation, Créativité, Innovation, Résolution de problèmes, Sens de l'organisation",https://www.rekrute.com/fr/offre-emploi-programmeur-mastercam-recrutement-akkodis-maroc-tanger-184060.html
SIRH Specialist,Cnexia,Rabat,Autres services,CDI,Bac +3,Junior (1 à 3 ans),"Creo, SAP, ERP","Francais, Anglais","Communication, Autonomie, Rigueur, Organisation, Innovation, Adaptabilité, Initiative",https://www.rekrute.com/fr/offre-emploi-sirh-specialist-recrutement-cnexia-rabat-184038.html
Technicien maintenance IT/Telecom,APEE - Association pour la Promotion de l’Enseignement d’Excellence,Benguerir,Informatique,CDI,Bac +2,Junior (1 à 3 ans),Excel,Non spécifié,"Communication, Travailler en équipe, Autonomie, Rigueur, Organisation, Créativité",https://www.rekrute.com/fr/offre-emploi-technicien-maintenance-ittelecom-recrutement-apee---association-pour-la-promotion-de-lenseignement-dexcellence-benguerir-184012.html
Responsable maintenance,Best Biscuits Maroc,Had Soualem,Agroalimentaire,CDI,Bac +5 et plus,Intermédiaire (3 à 5 ans),"GMAO, Excel",Non spécifié,"Organisation, Innovation, Polyvalence",https://www.rekrute.com/fr/offre-emploi-responsable-maintenance-recrutement-best-biscuits-maroc-had-soualem-183967.html
Chargé de Sûreté,ORH Assessment,Nouaceur,Autres Industries,CDD,Bac +3,Intermédiaire (3 à 5 ans),Non spécifié,Non spécifié,Organisation,https://www.rekrute.com/fr/offre-emploi-charge-de-surete-recrutement-orh-assessment-nouaceur-183929.html
Responsable Parc Auto (H/F),Confidentiel,Bouskoura,Distribution,CDI,Bac +3,Intermédiaire (3 à 5 ans),Excel,"Français, Arabe","Travail en équipe, Rigueur, Organisation, Flexibilité",https://www.rekrute.com/fr/offre-emploi-responsable-parc-auto-hf-recrutement-confidentiel-bouskoura-183924.html
Ingénieur DevOps (F/H),Sofrecom Maroc,Casablanca,Informatique,CDI,Bac +5 et plus,Intermédiaire (3 à 5 ans),"Python, Excel",Non spécifié,"Communication, Autonomie, Rigueur, Organisation, Innovation, Initiative",https://www.rekrute.com/fr/offre-emploi-ingenieur-devops-fh-recrutement-sofrecom-maroc-casablanca-183888.html
Quality Assurance Engineer,Air Arabia,Casablanca,"Aéronautique, Spatial",CDI,Bac +3,Confirmé (5 à 10 ans),"NX, ERP, Excel",English,"Communication, Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-quality-assurance-engineer-recrutement-air-arabia-casablanca-183876.html
Superviseur technique & Actifs,Groupe Label'Vie - Carrefour,Rabat,Agroalimentaire,CDI,Bac +2,Junior (1 à 3 ans),"Inventor, DAO",Non spécifié,"Organisation, Innovation, Adaptabilité, Relationnel, Initiative",https://www.rekrute.com/fr/offre-emploi-superviseur-technique-actifs-recrutement-groupe-labelvie---carrefour-rabat-183832.html
