Titre du poste,Entreprise,Ville,Secteur d'activité,Contrat proposé,Niveau d'étude,Expérience,Compétences techniques,Langues,Soft skills,Lien de l'offre
Responsable Maintenance,Confidentiel,Meknès,"Métallurgie, Sidérurgie",CDI,Bac +5 et plus,Confirmé (5 à 10 ans),Non spécifié,Français,"Autonomie, Rigueur, Organisation, Flexibilité, Réactivité",https://www.rekrute.com/fr/offre-emploi-responsable-maintenance-recrutement-confidentiel-meknes-183754.html
Techniciens de Maintenance (H/F),Auto Hall,Agadir,"Automobile, Motos, Cycles",CDI,Bac +2,Junior (1 à 3 ans),Excel,Non spécifié,"Organisation, Innovation, Initiative",https://www.rekrute.com/fr/offre-emploi-techniciens-de-maintenance-hf-recrutement-auto-hall-agadir-183749.html
Techniciens de Maintenance (H/F),Auto Hall,Oujda,"Automobile, Motos, Cycles",CDI,Bac +2,Junior (1 à 3 ans),Excel,Non spécifié,"Organisation, Innovation, Initiative",https://www.rekrute.com/fr/offre-emploi-techniciens-de-maintenance-hf-recrutement-auto-hall-oujda-183747.html
Techniciens de Maintenance (H/F),Auto Hall,Tanger,"Automobile, Motos, Cycles",CDI,Bac +2,Junior (1 à 3 ans),Excel,Non spécifié,"Organisation, Innovation, Initiative",https://www.rekrute.com/fr/offre-emploi-techniciens-de-maintenance-hf-recrutement-auto-hall-tanger-183746.html
Packaging Customization Specialist MPD,Manpower Agences,Ain Sebaa,Autres Industries,Autre,Bac +2,Débutant (-1 an),Excel,"Français, Anglais","Travail en équipe, Rigueur, Organisation, Créativité, Gestion de projet, Innovation, Résolution de problèmes, Adaptabilité, Relationnel, Sens de l'organisation",https://www.rekrute.com/fr/offre-emploi-packaging-customization-specialist-mpd-ain-sebaa-contrat-projet-recrutement-manpower-agences-casablanca-182891.html
Chargé de Pilotage SI - PMO (H/F),BCP TECH,Casablanca,"Banque, Finance",CDI,Bac +5 et plus,Confirmé (5 à 10 ans),Non spécifié,Non spécifié,"Travail en équipe, Organisation",https://www.rekrute.com/fr/offre-emploi-charge-de-pilotage-si---pmo-hf-recrutement-bcp-tech-casablanca-184335.html
Assistant(e) Administration de Production,Confidentiel,Casablanca,Agroalimentaire,CDI,Bac +2,Junior (1 à 3 ans),"ERP, Excel",Non spécifié,"Travail en équipe, Rigueur, Organisation, Organisé",https://www.rekrute.com/fr/offre-emploi-assistante-administration-de-production-recrutement-confidentiel-casablanca-184332.html
techniciens pharmaceutiques en compression et mélange,Manpower Agences,casablanca/bouskoura,"Pharmacie, Santé",Autre,Bac +2,Junior (1 à 3 ans),Excel,Non spécifié,"Communiquer, Travail en équipe, Travailler en équipe, Rigueur, Organisation, Créativité, Innovation, Résolution de problèmes, Adaptabilité",https://www.rekrute.com/fr/offre-emploi-techniciens-pharmaceutiques-en-compression-et-melange-recrutement-manpower-agences-casablancabouskoura-184318.html
Chargé Reproduction et Santé équine (H/F),Sorec,Marrakech,"Agriculture, Environnement",CDI,Bac +5 et plus,Confirmé (5 à 10 ans),Non spécifié,Non spécifié,"Organisation, Innovation, Initiative, Flexibilité, Sens de l'organisation",https://www.rekrute.com/fr/offre-emploi-charge-reproduction-et-sante-equine-hf-recrutement-sorec-marrakech-184302.html
Assistant(e) Administration de Production,Confidentiel,Casablanca,Agroalimentaire,CDI,Bac +2,Junior (1 à 3 ans),"ERP, Excel",Non spécifié,"Travail en équipe, Rigueur, Organisation, Organisé",https://www.rekrute.com/fr/offre-emploi-assistante-administration-de-production-recrutement-confidentiel-casablanca-184300.html
Technicien(ne) en Maroquinerie – Contrôle Qualité & Développement Produit,Jardin Majorelle,Marrakech,"Textile, Cuir",CDI,Qualification avant Bac,Junior (1 à 3 ans),Excel,Non spécifié,"Communiquer, Travail en équipe, Rigueur, Organisation, Créativité, Créatif, Flexibilité",https://www.rekrute.com/fr/offre-emploi-technicienne-en-maroquinerie-controle-qualite-developpement-produit-recrutement-jardin-majorelle-marrakech-184273.html
Chargé de reporting et palnification Call center,AXA Services Maroc,Rabat,Centre d'appels,CDI,Bac +2,Intermédiaire (3 à 5 ans),Non spécifié,Non spécifié,"Travail en équipe, Rigueur, Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-charge-de-reporting-et-palnification-call-center-recrutement-axa-services-maroc-rabat-184264.html
Chef de Projet Data & Digital Senior H/F,Sothema,Bouskoura,Informatique,CDI,Bac +5 et plus,Intermédiaire (3 à 5 ans),SQL,Non spécifié,"Communication, Organisation, Créativité, Gestion de projet, Innovation, Initiative, Flexibilité",https://www.rekrute.com/fr/offre-emploi-chef-de-projet-data-digital-senior-hf-recrutement-sothema-bouskoura-184203.html
Responsable Technique Production Fruits Rouges (H/F),ALH Holding,Agadir,"Agriculture, Environnement",CDI,Bac +5 et plus,Confirmé (5 à 10 ans),Excel,Non spécifié,"Autonomie, Rigueur, Organisation, Leadership, Innovation, Adaptabilité",https://www.rekrute.com/fr/offre-emploi-responsable-technique-production-fruits-rouges-hf-recrutement-alh-holding-agadir-184002.html
Administrateur Base de Données,BTechnologie,Rabat,Telecom,CDI,Bac +5 et plus,Intermédiaire (3 à 5 ans),"Modélisation, SQL, Excel",Non spécifié,"Communication, Travailler en équipe, Autonomie, Rigueur, Organisation, Innovation, Relationnel",https://www.rekrute.com/fr/offre-emploi-administrateur-base-de-donnees-recrutement-btechnologie-rabat-184160.html
Ingénieur Planification (H/F),Sothema,BOUSKOURA,"Pharmacie, Santé",CDI,Bac +5 et plus,Intermédiaire (3 à 5 ans),Non spécifié,Non spécifié,"Travail en équipe, Organisation, Innovation, Flexibilité",https://www.rekrute.com/fr/offre-emploi-ingenieur-planification-hf-recrutement-sothema-bouskoura-183259.html
Pharmacien de Production-Site,Sothema,Ain Sebaa,"Pharmacie, Santé",CDI,Bac +5 et plus,Intermédiaire (3 à 5 ans),Excel,Non spécifié,"Communication, Organisation, Gestion de projet, Innovation, Résolution de problèmes, Relationnel, Flexibilité, Sens de l'organisation",https://www.rekrute.com/fr/offre-emploi-pharmacien-de-production-site-recrutement-sothema-ain-sebaa-184082.html
Full Stack Developer,Cnexia tech,Rabat,Telecom,CDI,Bac +5 et plus,Intermédiaire (3 à 5 ans),"SQL, Excel",English,"Communication, Autonomie, Rigueur, Organisation, Innovation, Adaptabilité, Initiative",https://www.rekrute.com/fr/offre-emploi-full-stack-developer-recrutement-cnexia-tech-rabat-182777.html
Senior Cloud Network Engineer,Cnexia tech,Rabat,Telecom,CDI,Bac +5 et plus,Confirmé (5 à 10 ans),"ERP, Excel",English,"Communication, Autonomie, Rigueur, Organisation, Innovation, Adaptabilité, Initiative",https://www.rekrute.com/fr/offre-emploi-senior-cloud-network-engineer-recrutement-cnexia-tech-rabat-183551.html
Senior Java Software Engineer (AI Integration),Leyton,Casablanca,Informatique,CDI,Bac +5 et plus,Intermédiaire (3 à 5 ans),"FEA, ERP, Lean, Python",Non spécifié,"Communication, Autonomie, Organisation, Créativité, Leadership, Innovation, Initiative",https://www.rekrute.com/fr/offre-emploi-senior-java-software-engineer-ai-integration-recrutement-leyton-casablanca-183974.html
Design Specialist,Yazaki Morocco,Kénitra,"Automobile, Motos, Cycles",CDI,Bac +5 et plus,Junior (1 à 3 ans),"SOLIDWORKS, CATIA, CAO, DAO, Modélisation, Lean, Excel",Non spécifié,"Communication, Communiquer, Travail en équipe, Travailler en équipe, Autonomie, Rigueur, Organisation, Créativité, Gestion de projet, Innovation, Proactivité, Initiative",https://www.rekrute.com/fr/offre-emploi-design-specialist-recrutement-yazaki-morocco-kenitra-183795.html
Ingénieur Commercial Senior,GSM AL MAGHRIB,Casablanca,Autres Industries,CDI,Bac +5 et plus,Expert (10 à 20 ans),Excel,"Français, Anglais","Communication, Autonomie, Organisation, Innovation, Relationnel",https://www.rekrute.com/fr/offre-emploi-ingenieur-commercial-senior-recrutement-gsm-al-maghrib-casablanca-183708.html
Responsable Marketing & Communication (H/F),Groupe Le Matin,Casablanca,"Communication, Evénementiel",CDI,Bac +5 et plus,Intermédiaire (3 à 5 ans),Excel,Non spécifié,"Communication, Travailler en équipe, Autonome, Organisation, Gestion de projet, Innovation, Proactivité, Flexibilité",https://www.rekrute.com/fr/offre-emploi-responsable-marketing-communication-hf-recrutement-groupe-le-matin-casablanca-183779.html
Ingénieur support PHP (F/H),Sofrecom Maroc,Casablanca,Telecom,CDI,Bac +5 et plus,Intermédiaire (3 à 5 ans),"SQL, VBA, Excel","Français, Anglais","Communication, Travailler en équipe, Autonomie, Autonome, Organisation, Innovation, Relationnel, Initiative",https://www.rekrute.com/fr/offre-emploi-ingenieur-support-php-fh-recrutement-sofrecom-maroc-casablanca-183171.html
Responsable Production (ovoproduits),Domino HR Morocco,Casablanca,Agroalimentaire,CDI,Bac +5 et plus,Junior (1 à 3 ans),SAP,Non spécifié,"Organisation, Initiative, Réactivité",https://www.rekrute.com/fr/offre-emploi-responsable-production-ovoproduits-recrutement-domino-hr-morocco-casablanca-183763.html
Technicien Production (Rondier),Ciments du Maroc,Temara,"Electro-mécanique, Mécanique",CDI,Bac +2,Intermédiaire (3 à 5 ans),Non spécifié,Non spécifié,"Communiquer, Rigueur, Organisation, Innovation, Adaptabilité",https://www.rekrute.com/fr/offre-emploi-technicien-production-rondier-recrutement-ciments-du-maroc-temara-183723.html
Technicien Laboratoire,Ciments du Maroc,Nador,Autres services,CDI,Bac +2,Intermédiaire (3 à 5 ans),Non spécifié,Non spécifié,"Travail en équipe, Travailler en équipe, Rigueur, Organisation, Innovation, Adaptabilité, Sens de l'organisation",https://www.rekrute.com/fr/offre-emploi-technicien-laboratoire-recrutement-ciments-du-maroc-nador-183696.html
Ingénieur réseau (F/H),Sofrecom Maroc,Rabat,Informatique,CDI,Bac +5 et plus,Intermédiaire (3 à 5 ans),Excel,Non spécifié,"Communication, Autonomie, Rigueur, Organisation, Innovation, Initiative",https://www.rekrute.com/fr/offre-emploi-ingenieur-reseau-fh-recrutement-sofrecom-maroc-rabat-183442.html
ingénieur Fabrication,Groupe Bel,Tanger,Agroalimentaire,CDI,Bac +5 et plus,Intermédiaire (3 à 5 ans),"5S, Lean, Lean manufacturing, Excel","Français, Anglais, Arabe","Communication, Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-ingenieur-fabrication-recrutement-groupe-bel-tanger-183106.html
Automaticien,Groupe Bel,Tanger,Agroalimentaire,Autre,Bac +2,Débutant (-1 an),"GMAO, SAP, Automatisme, Robotique, 5S, Excel",Français,"Travailler en équipe, Autonome, Rigueur, Organisation, Innovation, Initiative",https://www.rekrute.com/fr/offre-emploi-automaticien-recrutement-groupe-bel-tanger-183204.html
Responsable SAV / Commercial,AZURA GROUP,Chtouka Ait Baha - Agadir,"Agriculture, Environnement",CDI,Bac +3,Intermédiaire (3 à 5 ans),Non spécifié,Non spécifié,"Autonomie, Rigueur, Organisation, Innovation, Initiative, Réactivité",https://www.rekrute.com/fr/offre-emploi-responsable-sav-commercial-recrutement-azura-group-chtouka-ait-baha---agadir-183673.html
Agent de production,Manpower Agences,Casablanca-Nouaceur,"Aéronautique, Spatial",Intérim,Bac +2,Débutant (-1 an),Excel,Non spécifié,"Communication, Rigueur, Organisation, Innovation, Adaptabilité",https://www.rekrute.com/fr/offre-emploi-agent-de-production-recrutement-manpower-agences-casablanca-nouaceur-183619.html
Planificateur,Confidentiel,Casablanca Ain Sebaa,"Automobile, Motos, Cycles",CDI,Bac +3,Intermédiaire (3 à 5 ans),"SAP, ERP, 5S, Kaizen, Lean, Lean manufacturing",Non spécifié,"Rigueur, Organisation, Résolution de problèmes, Initiative, Sens de l'organisation, Esprit d'analyse",https://www.rekrute.com/fr/offre-emploi-planificateur-recrutement-confidentiel-casablanca-ain-sebaa-183579.html
Technicien Maintenance Mécanique,Ciments du Maroc,Témara,"Electro-mécanique, Mécanique",CDI,Bac +2,Junior (1 à 3 ans),Non spécifié,"Français, Arabe","Communication, Communiquer, Travailler en équipe, Rigueur, Organisation, Innovation, Adaptabilité, Relationnel",https://www.rekrute.com/fr/offre-emploi-technicien-maintenance-mecanique-recrutement-ciments-du-maroc-temara-183623.html
Chef d'Équipe Mécanique,Ciments du Maroc,Témara,"Electro-mécanique, Mécanique",CDI,Bac +2,Confirmé (5 à 10 ans),Non spécifié,"Français, Anglais, Arabe","Communication, Rigueur, Organisation, Leadership, Innovation, Adaptabilité, Relationnel, Sens de l'organisation",https://www.rekrute.com/fr/offre-emploi-chef-dequipe-mecanique-recrutement-ciments-du-maroc-temara-183622.html
Auditeur Interne Senior,Aya Gold & Silver,Casablanca,"Comptabilité, Audit",CDI,Bac +5 et plus,Confirmé (5 à 10 ans),Excel,"Français, Anglais","Communication, Organisation, Flexibilité",https://www.rekrute.com/fr/offre-emploi-auditeur-interne-senior-recrutement-aya-gold-silver-casablanca-183063.html
Assistant (e) Achat Technique,Confidentiel,Casablanca,Autres Industries,CDI,Bac +3,Junior (1 à 3 ans),Non spécifié,Non spécifié,"Travail en équipe, Organisation, Flexibilité",https://www.rekrute.com/fr/offre-emploi-assistant-e-achat-technique-recrutement-confidentiel-casablanca-184334.html
Frigoriste,Groupe Bel,TANGER,Agroalimentaire,Autre,Bac +2,Débutant (-1 an),"GMAO, SAP, ERP, Automatisme, Excel",Français,"Travailler en équipe, Rigueur, Organisation, Innovation, Relationnel",https://www.rekrute.com/fr/offre-emploi-frigoriste-recrutement-groupe-bel-tanger-183206.html
Technicien conditionnement,Confidentiel,Casablanca,Agroalimentaire,Autre,Bac +3,Débutant (-1 an),"ERP, Automatisme",Non spécifié,"Communication, Travail en équipe, Rigueur, Organisation, Innovation, Résolution de problèmes, Adaptabilité, Initiative",https://www.rekrute.com/fr/offre-emploi-technicien-conditionnement-recrutement-confidentiel-casablanca-183568.html
Technicien maintenance automatisme,Confidentiel,Casablanca,Agroalimentaire,Autre,Bac +3,Débutant (-1 an),"ERP, Automatisme",Non spécifié,"Communication, Travail en équipe, Rigueur, Organisation, Innovation, Résolution de problèmes, Adaptabilité, Initiative",https://www.rekrute.com/fr/offre-emploi-technicien-maintenance-automatisme-recrutement-confidentiel-casablanca-183538.html
Technicien maintenance,Confidentiel,Casablanca,Agroalimentaire,CDI,Bac +2,Débutant (-1 an),Non spécifié,Non spécifié,Organisation,https://www.rekrute.com/fr/offre-emploi-technicien-maintenance-recrutement-confidentiel-casablanca-183536.html
Technicien de maintenance,Best Biscuits Maroc,Had Soualem,Agroalimentaire,CDI,Bac +2,Junior (1 à 3 ans),"Automatisme, Excel",Non spécifié,"Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-technicien-de-maintenance-recrutement-best-biscuits-maroc-had-soualem-183382.html
Technicien de maintenance,Best Biscuits Maroc,Had Soualem,Agroalimentaire,CDI,Bac +2,Junior (1 à 3 ans),"Automatisme, Excel",Non spécifié,"Travail en équipe, Rigueur, Organisation, Innovation, Sens de l'organisation, Réactivité, Esprit d'analyse",https://www.rekrute.com/fr/offre-emploi-technicien-de-maintenance-recrutement-best-biscuits-maroc-had-soualem-183365.html
Chef d'équipe BYD BUS,Auto Nejma Maroc S.A.,Casablanca,"Automobile, Motos, Cycles",CDI,Bac +2,Confirmé (5 à 10 ans),Excel,Non spécifié,"Communication, Rigueur, Organisation, Leadership, Innovation, Résolution de problèmes, Sens de l'organisation",https://www.rekrute.com/fr/offre-emploi-chef-dequipe-byd-bus-recrutement-auto-nejma-maroc-s.a.-casablanca-183254.html
Manager de site ( Facility Management ) RABAT,AXA Services Maroc,Rabat,Centre d'appels,CDI,Bac +4,Confirmé (5 à 10 ans),Non spécifié,Non spécifié,"Rigueur, Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-manager-de-site-facility-management-rabat-recrutement-axa-services-maroc-rabat-184375.html
Business Development Manager-Rabat/Marrakech CFO/CFA,Lamalif Group,Rabat,"BTP, Génie Civil",CDI,Bac +5 et plus,Confirmé (5 à 10 ans),"NX, ERP","Français, Anglais, Arabe","Communication, Autonomie, Rigueur, Organisation, Innovation, Initiative",https://www.rekrute.com/fr/offre-emploi-business-development-manager-rabatmarrakech-cfocfa-recrutement-lamalif-group-rabat-183689.html
Manager de site ( Facility Management ) Fés,AXA Services Maroc,Fès,Centre d'appels,CDI,Bac +4,Confirmé (5 à 10 ans),Non spécifié,Non spécifié,"Rigueur, Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-manager-de-site-facility-management-fes-recrutement-axa-services-maroc-fes-184053.html
Key Account Manager,Lamalif Group,Rabat,"BTP, Génie Civil",CDI,Bac +5 et plus,Confirmé (5 à 10 ans),Excel,Non spécifié,"Autonomie, Rigueur, Organisation, Innovation, Relationnel",https://www.rekrute.com/fr/offre-emploi-key-account-manager-recrutement-lamalif-group-rabat-183642.html
Chargé de Projet Senior Technique,ITHMAR CAPITAL,Rabat,Energie,CDI,Bac +5 et plus,Intermédiaire (3 à 5 ans),"Modélisation, Excel","Français, Anglais","Communication, Autonomie, Rigueur, Gestion de projet, Relationnel",https://www.rekrute.com/fr/offre-emploi-charge-de-projet-senior-technique-recrutement-ithmar-capital-rabat-183141.html
Responsable Entité Climat,CDG,Rabat,Indifférent,CDI,Bac +5 et plus,Confirmé (5 à 10 ans),Excel,Non spécifié,Initiative,https://www.rekrute.com/fr/offre-emploi-responsable-entite-climat-recrutement-cdg-rabat-183515.html
Manager de site ( Facility Management ) Fés,AXA Services Maroc,Fès,Centre d'appels,CDI,Bac +4,Confirmé (5 à 10 ans),Non spécifié,Non spécifié,"Rigueur, Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-manager-de-site-facility-management-fes-recrutement-axa-services-maroc-fes-183451.html
Superviseur Traitement - Usines (Taliouine-ASKAOUNE),Aya Gold & Silver,Taliouine,"Chimie, Parachimie, Peintures",CDI,Bac +2,Débutant (-1 an),ERP,Non spécifié,"Communication, Communiquer, Rigueur, Organisation, Leadership, Réactivité",https://www.rekrute.com/fr/offre-emploi-superviseur-traitement---usines-taliouine-askaoune-recrutement-aya-gold-silver-taliouine-184261.html
Technicien Ascensoriste,VINCI Energies Afrique de l'Ouest,Casablanca,Electricité,CDI,Bac +2,Intermédiaire (3 à 5 ans),Non spécifié,Non spécifié,"Communication, Autonomie, Rigueur, Organisation",https://www.rekrute.com/fr/offre-emploi-technicien-ascensoriste-recrutement-vinci-energies-afrique-de-louest-casablanca-183355.html
Technicien Mécanicien - electromécanicien Senior,Confidentiel,Casablance,Autres Industries,CDI,Bac +2,Expert (10 à 20 ans),ERP,Non spécifié,"Travail en équipe, Autonomie, Rigueur, Organisation, Relationnel, Initiative",https://www.rekrute.com/fr/offre-emploi-technicien-mecanicien---electromecanicien-senior-recrutement-confidentiel-casablance-183301.html
Concepteur mécanique aéronautique,Akkodis Maroc,Casablanca,Autres Industries,CDI,Bac +2,Intermédiaire (3 à 5 ans),"SOLIDWORKS, CATIA, CAO, Conception mécanique, Modélisation, Robotique, Excel",Non spécifié,"Communication, Travail en équipe, Autonomie, Rigueur, Organisation, Créativité, Gestion de projet, Innovation, Résolution de problèmes, Proactivité, Flexibilité",https://www.rekrute.com/fr/offre-emploi-concepteur-mecanique-aeronautique-recrutement-akkodis-maroc-casablanca-184341.html
Ingénieur DevOps (F/H),Sofrecom Maroc,Rabat,Telecom,CDI,Bac +5 et plus,Confirmé (5 à 10 ans),"Python, Excel",Non spécifié,"Communication, Autonomie, Organisation, Innovation, Initiative",https://www.rekrute.com/fr/offre-emploi-ingenieur-devops-fh-recrutement-sofrecom-maroc-rabat-183801.html
Chef de Projet MOE - MOA (H/F),Sorec,Rabat,Informatique,CDI,Bac +5 et plus,Confirmé (5 à 10 ans),"Modélisation, Ms project",Non spécifié,"Travail en équipe, Rigueur, Organisation, Créativité, Gestion de projet, Innovation, Initiative",https://www.rekrute.com/fr/offre-emploi-chef-de-projet-moe---moa-hf-recrutement-sorec-rabat-184198.html
Tech Lead Backend (Node.js),Confidentiel,Casablanca,"Recrutement, Intérim",CDI,Bac +5 et plus,Confirmé (5 à 10 ans),"Lean, SQL, Excel","Français, Anglais","Travail en équipe, Autonomie, Organisation, Créativité, Leadership, Esprit d'analyse",https://www.rekrute.com/fr/offre-emploi-tech-lead-backend-node.js-recrutement-confidentiel-casablanca-184189.html
Business Analyst - Technopolis,Confidentiel,Rabat,Informatique,CDI,Bac +5 et plus,Confirmé (5 à 10 ans),Modélisation,Anglais,"Communication, Travailler en équipe, Autonomie, Créativité, Proactivité",https://www.rekrute.com/fr/offre-emploi-business-analyst---technopolis-recrutement-confidentiel-rabat-183798.html
Anaplan Model Builder (H/F),BTechnologie,Rabat,Informatique,CDI,Bac +5 et plus,Junior (1 à 3 ans),"Modélisation, Excel",Non spécifié,"Communication, Autonomie, Rigueur, Organisation, Gestion de projet, Innovation, Résolution de problèmes, Proactivité",https://www.rekrute.com/fr/offre-emploi-anaplan-model-builder-hf-recrutement-btechnologie-rabat-183712.html
Ingénieur Sécurité & Réseaux Senior,GSM AL MAGHRIB,Casablanca,Autres services,CDI,Bac +5 et plus,Confirmé (5 à 10 ans),"ERP, Python","Français, Anglais","Communication, Rigueur, Organisation, Leadership, Innovation, Flexibilité, Esprit d'analyse",https://www.rekrute.com/fr/offre-emploi-ingenieur-securite-reseaux-senior-recrutement-gsm-al-maghrib-casablanca-183705.html
Ingénieur Sécurité & Réseaux Junior,GSM AL MAGHRIB,Casablanca,Autres services,CDI,Bac +5 et plus,Junior (1 à 3 ans),Python,"Français, Anglais","Communication, Esprit d'équipe, Autonomie, Autonome, Rigueur, Organisation, Innovation",https://www.rekrute.com/fr/offre-emploi-ingenieur-securite-reseaux-junior-recrutement-gsm-al-maghrib-casablanca-183704.html
Concepteur Développeur Java Angular (F/H),Sofrecom Maroc,Casablanca,Telecom,CDI,Bac +5 et plus,Intermédiaire (3 à 5 ans),"Modélisation, SQL, Excel",Non spécifié,"Communication, Autonomie, Organisation, Innovation, Initiative",https://www.rekrute.com/fr/offre-emploi-concepteur-developpeur-java-angular-fh-recrutement-sofrecom-maroc-casablanca-183700.html
Public Cloud Solution Consultant (H/F),Orange Maroc,Casablanca,Telecom,CDI,Bac +5 et plus,Confirmé (5 à 10 ans),Non spécifié,Non spécifié,"Communication, Autonomie, Innovation",https://www.rekrute.com/fr/offre-emploi-public-cloud-solution-consultant-hf-recrutement-orange-maroc-casablanca-183309.html
Campus & Unified Communications Solution Product Manager (H/F),Orange Maroc,Casablanca,Informatique,CDI,Bac +5 et plus,Confirmé (5 à 10 ans),Non spécifié,Non spécifié,"Communication, Autonomie, Innovation",https://www.rekrute.com/fr/offre-emploi-campus-unified-communications-solution-product-manager-hf-recrutement-orange-maroc-casablanca-183314.html
Chef de projet Analytical Center,CDG,Rabat,Indifférent,CDI,Bac +5 et plus,Confirmé (5 à 10 ans),"Modélisation, ERP, Python, SQL",Non spécifié,"Autonomie, Rigueur, Organisation",https://www.rekrute.com/fr/offre-emploi-chef-de-projet-analytical-center-recrutement-cdg-rabat-183462.html
Ingénieur Radio Mobile (F/H),Sofrecom Maroc,Rabat,Informatique,CDI,Bac +5 et plus,Intermédiaire (3 à 5 ans),"Modélisation, Excel",Non spécifié,"Communication, Autonomie, Organisation, Innovation, Initiative",https://www.rekrute.com/fr/offre-emploi-ingenieur-radio-mobile-fh-recrutement-sofrecom-maroc-rabat-183229.html
Business Analyst  (F/H),Sofrecom Maroc,Technopolis,Informatique,CDI,Bac +5 et plus,Confirmé (5 à 10 ans),"Modélisation, Excel",Anglais,"Communication, Travailler en équipe, Autonomie, Organisation, Créativité, Innovation, Proactivité, Initiative",https://www.rekrute.com/fr/offre-emploi-business-analyst-fh-recrutement-sofrecom-maroc-technopolis-182808.html
